id,sku,brand,old_type,new_type,sub_type,changed,name
2772,2256,MOEN,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen cây tắm đứng nóng lạnh MOEN 2256"
2773,68234,MOEN,sen-cay-nhiet-do,sen-dung,,YES,"Sen cây tắm đứng nhiệt độ MOEN 68234"
2774,2255+JP58232,MOEN,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen cây tắm đứng MOEN 2255 kèm JP58232"
2775,M22065+120067+T57282+HK30012+A721+57948,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN M22065 kèm 120067, T57282, HK30012, A721, 57948"
2776,MR23012BL+UHT73342BL+UR4000+HH202022BL+A716BL+737B,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN MR23012BL kèm UHT73342BL, UR4000, HH202022BL, A716BL, 737B"
2777,MR23014BL+UHT73343FBL+UR4000+HH202023BL+737BL+A716,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN MR23014BL kèm UHT73343FBL, UR4000, HH202023BL, 737BL, A716"
2778,MR23014BL+UHT73343FBL+UR4000+A717BL+HH202023BL+A71,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN MR23014BL kèm UHT73343FBL, UR4000, A717BL, HH202023BL, A71"
2779,MR23014BL+UHT73343BL+UR4000+HH202023BL+737BL+A716B,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN MR23014BL kèm UHT73343BL, UR4000, HH202023BL, 737BL, A716B"
2780,29124000,GROHE,sen-nhiet-do,phu-kien,mat-dieu-khien,YES,"Mặt điều khiển sen tắm ổn nhiệt Grohtherm SmartControl vuông 2 chế độ GROHE 29124000"
2781,29126000,GROHE,sen-nhiet-do,phu-kien,mat-dieu-khien,YES,"Mặt điều khiển sen tắm ổn nhiệt Grohtherm SmartControl vuông 3 chế độ GROHE 29126000"
2782,29120000,GROHE,sen-nhiet-do,phu-kien,gac-sen,YES,"Mặt điều khiển sen tắm ổn nhiệt Grohtherm SmartControl tròn 2 chế độ kèm gác sen GROHE 29120000"
2783,29121000,GROHE,sen-nhiet-do,phu-kien,mat-dieu-khien,YES,"Mặt điều khiển sen tắm ổn nhiệt Grohtherm SmartControl tròn 3 chế độ GROHE 29121000"
2784,29119000,GROHE,sen-nhiet-do,phu-kien,mat-dieu-khien,YES,"Mặt điều khiển sen tắm ổn nhiệt Grohtherm SmartControl tròn 2 chế độ GROHE 29119000"
2785,34155003,GROHE,sen-nhiet-do,phu-kien,linh-kien,YES,"Bộ trộn sen tắm ổn nhiệt 2 chế độ Grohtherm 1000 New GROHE 34155003"
2786,34718000,GROHE,sen-nhiet-do,phu-kien,linh-kien,YES,"Bộ trộn nổi ổn nhiệt GRT SC 2 chế độ Grohe 34718000"
2787,WF-4948,American Standard,sen-nhiet-do,cu-sen,,YES,"Củ sen tắm chỉnh nhiệt độ American Standard Active WF-4948 (WF4948)"
2788,WF-4950,American Standard,sen-nhiet-do,cu-sen,,YES,"Vòi sen ổn nhiệt American Standard WF-4950 (WF4950)"
2789,WF-4954,American Standard,sen-tam,cu-sen,,YES,"Vòi sen tắm cảm biến nhiệt American Standard EasySET WF-4954 (WF4954)"
2790,WF-4946,American Standard,sen-nhiet-do,cu-sen,,YES,"Vòi sen tắm chỉnh nhiệt độ American Standard WF-4946 (WF4946)"
2791,WF-4949,American Standard,sen-nhiet-do,cu-sen,,YES,"Vòi sen ổn nhiệt American Standard WF-4949 (WF4949)"
2792,EasySet Essential - Matte Black,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 1 đường American Standard EasySet Essential - Matte Black EasySet Essential - Matte Black"
2793,EasySet Experience - Matte Black,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet Experience - Matte Black EasySet Experience - Matte Black"
2794,EasySet - Polished Warm Sunset 1,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet - Polished Warm Sunset 1 EasySet - Polished Warm Sunset 1"
2795,EasySet Enjoyment - Matte Black,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 3 đường American Standard EasySet Enjoyment - Matte Black EasySet Enjoyment - Matte Black"
2796,EasySet Essential - Polished Cool Sunrise,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 1 đường American Standard EasySet Essential - Polished Cool Sunrise EasySet Essential - Polished Cool Sunrise"
2797,EasySet Essential - Brushed Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 1 đường American Standard EasySet Essential - Brushed Hard Graphite EasySet Essential - Brushed Hard Graphite"
2798,EasySet Essential - Polished Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 1 đường American Standard EasySet Essential - Polished Hard Graphite EasySet Essential - Polished Hard Graphite"
