id,sku,brand,product_type,product_type_de_xuat,ten_san_pham
3255,BC9903-158,MOEN,lavabo,???,"Lavabo đặt sàn MOEN BC9903-158"
4815,L239FR#W,TOTO,lavabo,chan-chau,"Chân chậu lavabo dài TOTO L239FR"
4816,L240HF#W,TOTO,lavabo,chan-chau,"Chân chậu lavabo lửng TOTO L240HF"
4814,L242HF#W,TOTO,lavabo,chan-chau,"Chân chậu lavabo lửng TOTO L242HF"
4813,L300HF#W,TOTO,lavabo,chan-chau,"Chân chậu lavabo lửng TOTO L300HF"
220,L501C#W,TOTO,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành TOTO L501C"
209,L762#XW,TOTO,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành TOTO L762 L762#XW"
208,L763#XW,TOTO,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành TOTO L763 (LT763) L763#XW"
221,L909C#XW,TOTO,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành TOTO L909C"
924,LW781CJ#W,TOTO,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành TOTO LW781CJ"
1726,VI1T,Viglacera,lavabo,chan-chau,"Chân chậu lavabo dài Viglacera VI1T"
1727,BS502,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera BS502"
1735,BS503,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera BS503"
1728,V23-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V23-CHAN"
1732,V36-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V36-CHAN"
1733,V37-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V37-CHAN"
1734,V39-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V39-CHAN"
1729,V50-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V50-CHAN"
2219,V511-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V511 V511-CHAN"
1731,V58-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V58-CHAN"
2218,V59-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera V59 V59-CHAN"
1730,VI5-CHAN,Viglacera,lavabo,chan-chau,"Chân chậu lavabo lửng Viglacera VI5-CHAN"
1037,CD1,Viglacera,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành Viglacera CD1"
1742,CD20,Viglacera,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành Viglacera CD20"
1744,CD21,Viglacera,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành Viglacera CD21"
2086,CD12,Viglacera,lavabo,???,"Chậu rửa lavabo bán dương bàn Viglacera CD12"
1748,BS409,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera BS409"
1746,BS418,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera BS418"
1761,V23-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V23 V23-CHAU"
1751,V23-CHAU+V23-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V23-CHAU kèm V23-CHAN"
1758,V36-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V36 V36-CHAU"
1753,V36-CHAU+V36-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V36-CHAU kèm V36-CHAN"
1759,V37-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V37 V37-CHAU"
