id,sku,brand,proposed_product_type,current_product_type,name
3661,39330000,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Euro Ceramic Grohe
3664,39330001,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Euro Ceramic GROHE 39330001
3668,39330002,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Euro Ceramic GROHE
3665,39331001,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Euro Ceramic GROHE
3662,39384L00,GROHE,nap-dien-tu,nap-bon-cau,Nắp bồn cầu điện tử GROHE
3660,39458000,GROHE,CHUA_XAC_DINH,nap-bon-cau,Nắp bồn cầu Grohe 34958000
3666,39488000,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Cube Ceramic GROHE
3667,39493000,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Bau Ceramic GROHE
1013,39557SH0,GROHE,nap-rua-co,nap-bon-cau,Nắp rửa cơ GROHE
3658,39577000,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Essence GROHE
3669,39577001,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Essence GROHE
3670,49506000,GROHE,CHUA_XAC_DINH,nap-bon-cau,Nắp và bệ ngồi bồn cầu GROHE
3671,49508000,GROHE,CHUA_XAC_DINH,nap-bon-cau,Nắp và bệ ngồi bồn cầu GROHE
3185,CF-1008VS/BW1,INAX,CHUA_XAC_DINH,nap-bon-cau,Nắp bồn cầu INAX
1311,CF-1032VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
1306,CF-2700VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-2700VS (CF2700VS)
3190,CF-3003VS/BW1,INAX,CHUA_XAC_DINH,nap-bon-cau,Nắp bồn cầu INAX
1303,CF-37AKV/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng thường INAX CF-37AKV (CF37AKV)
1302,CF-37VSAK/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-37VSAK (CF37VSAK)
1220,CF-500VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-500VS (CF500VS)
1312,CF-502VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
1305,CF-57AKV/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng thường INAX CF-57AKV (CF57AKV)
1304,CF-57VSAK/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-57VSAK (CF57VSAK)
3188,CF-600VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
1309,CF-602VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-602VS (CF602VS)
1310,CF-606VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-606VS (CF606VS)
1219,CF-700VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-700VS (CF700VS)
3186,CF-800VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
1307,CF-832VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-832VS (CF832VS)
3189,CF-900VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
3187,CF-918VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
3184,CF-952VS/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm INAX
1308,CF-99AT/BW1,INAX,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm INAX CF-99AT (CF99AT)
1200,CW-H17VN/BW1,INAX,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử thông minh INAX CW-H17VN (CWH17VN)
1201,CW-H18VN/BW1,INAX,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử thông minh INAX CW-H18VN (CWH18VN)
1301,CW-H20VN/BW1,INAX,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử INAX CW-H20VN (CWH20VN)
1202,CW-KA22AVN/BW1,INAX,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử INAX thông minh CW-KA22AVN (CWKA22AVN)
1203,CW-KB22AVN/BW1,INAX,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử INAX thông minh CW-KB22AVN (CWKB22AVN)
1002,CW-S15VN/BW1,INAX,nap-rua-co,nap-bon-cau,Nắp rửa cơ INAX CW-S15VN (CWS15VN)
1003,CW-S32VN/BW1,INAX,nap-rua-co,nap-bon-cau,Nắp rửa cơ INAX CW-S32VN (CWS32VN)(-1)
3863,FR.A-T989V-1,INAX,CHUA_XAC_DINH,nap-bon-cau,Nắp két nước INAX
3899,SW2070,MOEN,nap-dien-tu,nap-bon-cau,Nắp bồn cầu điện tử MOEN
3900,SW2221,MOEN,nap-dien-tu,nap-bon-cau,Nắp bồn cầu điện tử MOEN
4590,HH05500#NW1,TOTO,CHUA_XAC_DINH,nap-bon-cau,Nắp che bên phải TOTO HH05500#NW1 (CS921VT)
3838,SHXCP407,TOTO,nap-dien-tu,,Đế Washlet đa năng TOTO
1221,TC384CVK#W,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC384CVK#W (CS761D; CS761P)
1199,TC385VS#W,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC385VS (T3)
1198,TC393VS#W,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC393VS (T2)
1218,TC395VS#W,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC395VS (T10)
1223,TC512A,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC512A (CW522A)
1222,TC513A,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC513A (CW542ME5U)
1205,TC600VS#W,TOTO,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm TOTO TC600VS (T8)
4591,TC6040S-366V#W,TOTO,CHUA_XAC_DINH,nap-bon-cau,Nắp và bệ ngồi TOTO TC6040S-366V#W (MS366)
1299,TCF23410AAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet C2 TOTO TCF23410AAA (W16)
1298,TCF23460AAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet C2 TOTO TCF23460AAA (W17) dành cho bồn cầu giấu dây
1196,TCF23710AAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh TOTO TCF23710AAA (W18) Washlet C2 cơ bản
1295,TCF24410AAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet C5 TOTO TCF24410AAA (W14)
1294,TCF24460AAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet C5 TOTO TCF24460AAA (W15) dành cho bồn cầu giấu dây
1296,TCF33320GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet S2 TOTO TCF33320GAA
1297,TCF33370GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet S2 TOTO TCF33370GAA dành cho bồn cầu giấu dây
1593,TCF33461GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet S2 TOTO TCF33461GAA (W24)
1292,TCF34320GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet S5 TOTO TCF34320GAA
1594,TCF34461GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet S5 TOTO TCF34461GAA (W25)
1293,TCF34570GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu thông minh Washlet S5 TOTO TCF34570GAA dành cho bồn cầu giấu dây
1300,TCF47360GAA#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Washlet S7 TOTO TCF47360GAA (W23)
1291,TCF4911EZ#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Washlet S7 TOTO TCF4911EZ (W12) dành cho bồn cầu giấu dây
1204,TCF4911Z#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Washlet S7 TOTO TCF4911Z (W11)
4585,TCM10717,TOTO,nap-dien-tu,,Đế Washlet đa năng TOTO
774,TCW07S#W,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu rửa cơ Eco washer TOTO TCW07S (E2)
776,TCW09S#W,TOTO,nap-dien-tu,nap-bon-cau,Nắp bồn cầu rửa cơ TOTO TCW09S (E5) 2 chế độ rửa trước & sau
775,TCW1211A#NW1,TOTO,nap-dien-tu,nap-bon-cau,Nắp rửa cơ Eco washer TOTO TCW1211A (E4) 2 chế độ rửa trước & sau
