lane,product_id,sku,name,category_slug,subcategory_slug,brand_name,product_type,product_sub_type,publication_status,pdp_visibility,listing_visibility,search_visibility,seo_indexing,sitemap_include,stock_status,has_primary_taxon
gach-op-lat,39447,INAX-1525/EAC-2,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39446,INAX-1525/EAC-3,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39445,INAX-1525/EAC-4,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7856,INAX-1525/EAC-1,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39450,INAX-255/VIZ-8,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39448,INAX-255/VIZ-10,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39449,INAX-255/VIZ-9,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39452,INAX-255/VIZ-6,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39451,INAX-255/VIZ-7,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39456,INAX-255/VIZ-2,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39453,INAX-255/VIZ-5,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39454,INAX-255/VIZ-4,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39455,INAX-255/VIZ-3,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7859,INAX-255/VIZ-1,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39460,INAX-355-VIZ-6N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39462,INAX-355-VIZ-4N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39463,INAX-355-VIZ-3N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39464,INAX-355-VIZ-2N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39457,INAX-355-VIZ-9N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39465,INAX-355-VIZ-1N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39458,INAX-355-VIZ-8N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39459,INAX-355-VIZ-7N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39461,INAX-355-VIZ-5N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7858,INAX-355-VIZ-10N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39466,INAX-355/EAC-4,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39467,INAX-355/EAC-3,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7855,INAX-355/EAC-1,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39468,INAX-355/EAC-2,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39470,INAX-20B/BB-2,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39469,INAX-20B/BB-3,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7849,INAX-20B/BB-1,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7838,IM-1520P1/BL-1,Gạch ốp tường BL-BULLION BORDER INAX IM-1520P1/BL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39472,IM-1520P1/BL-2,Gạch ốp tường BL-BULLION BORDER INAX IM-1520P1/BL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39471,HAL-155/CEF-2,Gạch ốp tường CELAVIO E INAX HAL-155/CEF,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7833,HAL-155/CEF-1,Gạch ốp tường CELAVIO E INAX HAL-155/CEF,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39476,HAL-35B/GRA-M3,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39477,HAL-35B/GRA-M2,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39475,HAL-35B/GRA-M4,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7832,HAL-35B/GRA-M1,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39473,INAX-40B/CK-6,Gạch ốp tường CHECKER INAX-40B/CK,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7845,INAX-40B/CK-1,Gạch ốp tường CHECKER INAX-40B/CK,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39474,INAX-40B/CK-3,Gạch ốp tường CHECKER INAX-40B/CK,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39487,355SD/CMG-4B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39489,355SD/CMG-2B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39478,355TT/CMG-4B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
