product_id,sku,subcategory_slug,name,current_product_type,proposed_product_type,heuristic_reason
39449,INAX-255/VIZ-9,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39450,INAX-255/VIZ-8,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39451,INAX-255/VIZ-7,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39452,INAX-255/VIZ-6,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39453,INAX-255/VIZ-5,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39454,INAX-255/VIZ-4,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39455,INAX-255/VIZ-3,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
39456,INAX-255/VIZ-2,gach-op-tuong,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),,gach-op-tuong,subcategory-direct-map
7858,INAX-355-VIZ-10N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39457,INAX-355-VIZ-9N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39458,INAX-355-VIZ-8N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39459,INAX-355-VIZ-7N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39460,INAX-355-VIZ-6N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39461,INAX-355-VIZ-5N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
