migration_group,old_root,old_subcategory,slug,new_root,new_subcategory,old_url,new_url,product_id,sku,current_category_slug,current_subcategory_slug,target_taxonomy_path,publication_status,pdp_visibility,listing_visibility,seo_indexing,sitemap_include,search_state,notes,name,current_category_name,current_subcategory_name,current_product_type,current_product_sub_type,target_taxon_slug,target_taxon_name,is_active,stock_status,canonical_runtime_url,old_url_matches_legacy_shape,new_url_matches_taxonomy_shape,redirect_db_exact_old_url,redirect_db_exact_to_expected_new_url,redirect_collision,redirect_chain_risk,redirect_loop_risk,root_listing_impact,featured_block_impact,filter_derivation_impact,admin_query_impact,breadcrumb_label_risk,migrate_readiness,action_needed
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,7816,INAX-255/90-14/POL-B1-B2-B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,low_priority,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch góc hồ bơi 255/90-14 INAX-255/90-14/POL-B1,B2,B3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,7817,INAX-255/90-15/POL-B1-B2-B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch góc hồ bơi 255/90-15 INAX-255/90-15/POL-B1,B2,B3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,7818,INAX-47/90-14/POL-B1-B2-B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch góc hồ bơi 47 INAX-47/90-14/POL-B1,B2,B3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,7819,INAX-1025/POL-B1/B2/B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch hồ bơi INAX 22.5 x 22.5 1025/POL-B1,2,3:G1,2,3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,7821,"INAX-47/POL-B1,B2,B3",thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch hồ bơi INAX 47 x 47 47/POL-B1,2,3: G1,2,3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,7820,INAX-97/POL-B1/B2/B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch hồ bơi INAX 97 x 97 97/POL-B1,2,3: G1,2,3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,/gach-op-lat/gach-op-lat/keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,7868,EGR-V2SP/G3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Keo dán gạch INAX EGR-V2SP/G3 (2kg / 1 tuýp),Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-1525eac-earth-color-border-inax-1525eac,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-1525eac-earth-color-border-inax-1525eac,/gach-op-lat/gach-op-tuong/gach-op-tuong-1525eac-earth-color-border-inax-1525eac,7856,INAX-1525/EAC-1,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-1525eac-earth-color-border-inax-1525eac,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-255-viz-inax-255viz,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-255-viz-inax-255viz,/gach-op-lat/gach-op-tuong/gach-op-tuong-255-viz-inax-255viz,7859,INAX-255/VIZ-1,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-255-viz-inax-255viz,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-355-viz-inax-355viz,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-355-viz-inax-355viz,/gach-op-lat/gach-op-tuong/gach-op-tuong-355-viz-inax-355viz,7858,INAX-355-VIZ-10N,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-355-viz-inax-355viz,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
