id,sku,brand,variant_group,old_name,new_name,old_slug,new_slug,changed
2754,"TBV03427V/TBW03002B","TOTO","TBV03427V","Bộ sen tắm nhiệt độ TOTO TBV03427V TBW03002B (5 chế độ) TBV03427V/TBW03002B","Bộ sen tắm TOTO TBV03427V kèm bát sen TBW03002B","bo-sen-tam-nhiet-do-toto-tbv03427v-tbw03002b-5-che-do-tbv03427vtbw03002b","bo-sen-tam-toto-tbv03427v-kem-bat-sen-tbw03002b",YES
2755,"TBV03429V/TBW01008A","TOTO","TBV03429V","Bộ sen tắm nhiệt độ TOTO TBV03429V TBW01008A TBV03429V/TBW01008A","Bộ sen tắm TOTO TBV03429V kèm bát sen TBW01008A","bo-sen-tam-nhiet-do-toto-tbv03429v-tbw01008a-tbv03429vtbw01008a","bo-sen-tam-toto-tbv03429v-kem-bat-sen-tbw01008a",YES
2757,"TBV03429V/TBW01010A","TOTO","TBV03429V","Bộ sen tắm nhiệt độ TOTO TBV03429V TBW01010A (3 chế độ) TBV03429V/TBW01010A","Bộ sen tắm TOTO TBV03429V kèm bát sen TBW01010A","bo-sen-tam-nhiet-do-toto-tbv03429v-tbw01010a-3-che-do-tbv03429vtbw01010a","bo-sen-tam-toto-tbv03429v-kem-bat-sen-tbw01010a",YES
2756,"TBV03429V/TBW02006A","TOTO","TBV03429V","Bộ sen tắm nhiệt độ TOTO TBV03429V TBW02006A (3 chế độ) TBV03429V/TBW02006A","Bộ sen tắm TOTO TBV03429V kèm bát sen TBW02006A","bo-sen-tam-nhiet-do-toto-tbv03429v-tbw02006a-3-che-do-tbv03429vtbw02006a","bo-sen-tam-toto-tbv03429v-kem-bat-sen-tbw02006a",YES
2760,"TBV03429V/TBW02017A","TOTO","TBV03429V","Bộ sen tắm nhiệt độ TOTO TBV03429V TBW02017A TBV03429V/TBW02017A","Bộ sen tắm TOTO TBV03429V kèm bát sen TBW02017A","bo-sen-tam-nhiet-do-toto-tbv03429v-tbw02017a-tbv03429vtbw02017a","bo-sen-tam-toto-tbv03429v-kem-bat-sen-tbw02017a",YES
2758,"TBV03429V/TBW03002B","TOTO","TBV03429V","Bộ sen tắm nhiệt độ TOTO TBV03429V TBW03002B (5 chế độ) TBV03429V/TBW03002B","Bộ sen tắm TOTO TBV03429V kèm bát sen TBW03002B","bo-sen-tam-nhiet-do-toto-tbv03429v-tbw03002b-5-che-do-tbv03429vtbw03002b","bo-sen-tam-toto-tbv03429v-kem-bat-sen-tbw03002b",YES
2765,"TBV03431V/TBW01008A","TOTO","TBV03431V","Bộ sen tắm nhiệt độ TOTO TBV03431V TBW01008A TBV03431V/TBW01008A","Bộ sen tắm TOTO TBV03431V kèm bát sen TBW01008A","bo-sen-tam-nhiet-do-toto-tbv03431v-tbw01008a-tbv03431vtbw01008a","bo-sen-tam-toto-tbv03431v-kem-bat-sen-tbw01008a",YES
2762,"TBV03431V/TBW01010A","TOTO","TBV03431V","Bộ sen tắm nhiệt độ TOTO TBV03431V TBW01010A (3 chế độ) TBV03431V/TBW01010A","Bộ sen tắm TOTO TBV03431V kèm bát sen TBW01010A","bo-sen-tam-nhiet-do-toto-tbv03431v-tbw01010a-3-che-do-tbv03431vtbw01010a","bo-sen-tam-toto-tbv03431v-kem-bat-sen-tbw01010a",YES
2761,"TBV03431V/TBW02006A","TOTO","TBV03431V","Bộ sen tắm nhiệt độ TOTO TBV03431V TBW02006A (3 chế độ) TBV03431V/TBW02006A","Bộ sen tắm TOTO TBV03431V kèm bát sen TBW02006A","bo-sen-tam-nhiet-do-toto-tbv03431v-tbw02006a-3-che-do-tbv03431vtbw02006a","bo-sen-tam-toto-tbv03431v-kem-bat-sen-tbw02006a",YES
2763,"TBV03431V/TBW02017A","TOTO","TBV03431V","Bộ sen tắm nhiệt độ TOTO TBV03431V TBW02017A TBV03431V/TBW02017A","Bộ sen tắm TOTO TBV03431V kèm bát sen TBW02017A","bo-sen-tam-nhiet-do-toto-tbv03431v-tbw02017a-tbv03431vtbw02017a","bo-sen-tam-toto-tbv03431v-kem-bat-sen-tbw02017a",YES
