sku,brand,subcategory,old_name,new_name,old_slug,new_slug,slug_changed
"GA-125FAK","PANASONIC","may-bom-nuoc","Máy bơm Panasonic tăng áp 125W GA-125FAK GA-125FAK","Máy bơm Panasonic tăng áp 125W GA-125FAK","may-bom-panasonic-tang-ap-125w-ga-125fak-ga-125fak","may-bom-panasonic-tang-ap-125w-ga-125fak",YES
"GA-200FAH","PANASONIC","may-bom-nuoc","Máy bơm Panasonic tăng áp 200W GA-200FAH GA-200FAH","Máy bơm Panasonic tăng áp 200W GA-200FAH","may-bom-panasonic-tang-ap-200w-ga-200fah-ga-200fah","may-bom-panasonic-tang-ap-200w-ga-200fah",YES
"GP-10HCN1SVN","PANASONIC","may-bom-nuoc","Máy bơm ly tâm 740W-1480W Panasonic GP-10HCN1SVN / GP-15HCN1SVN /  GP-20HCN1SVN GP-10HCN1SVN","Máy bơm ly tâm 740W-1480W Panasonic GP-10HCN1SVN / GP-15HCN1SVN /  GP-20HCN1SVN","may-bom-ly-tam-740w-1480w-panasonic-gp-10hcn1svn-gp-15hcn1svn-gp-20hcn1svn-gp-10hcn1svn","may-bom-ly-tam-740w-1480w-panasonic-gp-10hcn1svn-gp-15hcn1svn-gp-20hcn1svn",YES
"GP-129JXK-SV5","PANASONIC","may-bom-nuoc","Máy bơm Panasonic đẩy cao 125W GP-129JXK-SV5 / GP-129JXK-NV5 GP-129JXK-SV5","Máy bơm Panasonic đẩy cao 125W GP-129JXK-SV5 / GP-129JXK-NV5","may-bom-panasonic-day-cao-125w-gp-129jxk-sv5-gp-129jxk-nv5-gp-129jxk-sv5","may-bom-panasonic-day-cao-125w-gp-129jxk-sv5-gp-129jxk-nv5",YES
"GP-200JXK-SV5","PANASONIC","may-bom-nuoc","Máy bơm Panasonic đẩy cao 200W GP-200JXK-SV5 / GP-200JXK-NV5 GP-200JXK-SV5","Máy bơm Panasonic đẩy cao 200W GP-200JXK-SV5 / GP-200JXK-NV5","may-bom-panasonic-day-cao-200w-gp-200jxk-sv5-gp-200jxk-nv5-gp-200jxk-sv5","may-bom-panasonic-day-cao-200w-gp-200jxk-sv5-gp-200jxk-nv5",YES
"GP-250JXK-SV5","PANASONIC","may-bom-nuoc","Máy bơm Panasonic đẩy cao 250W GP-250JXK-SV5 / GP-250JXK-NV5 GP-250JXK-SV5","Máy bơm Panasonic đẩy cao 250W GP-250JXK-SV5 / GP-250JXK-NV5","may-bom-panasonic-day-cao-250w-gp-250jxk-sv5-gp-250jxk-nv5-gp-250jxk-sv5","may-bom-panasonic-day-cao-250w-gp-250jxk-sv5-gp-250jxk-nv5",YES
"BIO ISLAND WH/A/120X53 ROVERE","Elica","may-hut-mui","Máy hút mùi đảo ELICA BIO ISLAND WH/A/120X53 ROVERE BIO ISLAND WH/A/120X53 ROVERE","Máy hút mùi đảo ELICA BIO ISLAND WH/A/120X53 ROVERE","may-hut-mui-dao-elica-bio-island-wha120x53-rovere-bio-island-wha120x53-rovere","may-hut-mui-dao-elica-bio-island-wha120x53-rovere",YES
"CIRCUS IX/A/60","Elica","may-hut-mui","Máy hút mùi áp tường ELICA CIRCUS IX/A/60(90) CIRCUS IX/A/60","Máy hút mùi áp tường ELICA CIRCUS IX/A/60(90)","may-hut-mui-ap-tuong-elica-circus-ixa6090-circus-ixa60","may-hut-mui-ap-tuong-elica-circus-ixa6090",YES
"EASY UX IX/F/50","Elica","may-hut-mui","Máy hút mùi đảo đèn ELICA Easy UX EASY UX IX/F/50","Máy hút mùi đảo đèn ELICA Easy UX","may-hut-mui-dao-den-elica-easy-ux-easy-ux-ixf50","may-hut-mui-dao-den-elica-easy-ux",YES
"ELITE 14 LUX GRIX/A/60","Elica","may-hut-mui","Máy hút mùi âm tủ ELITE 14 LUX ELICA ELITE 14 LUX GRIX/A/60","Máy hút mùi âm tủ ELITE 14 LUX ELICA","may-hut-mui-am-tu-elite-14-lux-elica-elite-14-lux-grixa60","may-hut-mui-am-tu-elite-14-lux-elica",YES
"ERA GR/A/52","Elica","may-hut-mui","Máy hút mùi âm tủ ELICA ERA GR/A/72 ERA GR/A/52","Máy hút mùi âm tủ ELICA ERA GR/A/72","may-hut-mui-am-tu-elica-era-gra72-era-gra52","may-hut-mui-am-tu-elica-era-gra72",YES
"ERA S IX/A/52","Elica","may-hut-mui","Máy hút mùi âm tủ ELICA ERA S IX/A/52(72) ERA S IX/A/52","Máy hút mùi âm tủ ELICA ERA S IX/A/52(72)","may-hut-mui-am-tu-elica-era-s-ixa5272-era-s-ixa52","may-hut-mui-am-tu-elica-era-s-ixa5272",YES
"GALAXY ISLAND BLIX/A/90x45","Elica","may-hut-mui","Máy hút mùi đảo ELICA GALAXY ISLAND BLIX/A/90x45 GALAXY ISLAND BLIX/A/90x45","Máy hút mùi đảo ELICA GALAXY ISLAND BLIX/A/90x45","may-hut-mui-dao-elica-galaxy-island-blixa90x45-galaxy-island-blixa90x45","may-hut-mui-dao-elica-galaxy-island-blixa90x45",YES
"IKONA BL MAT/A/60","Elica","may-hut-mui","Máy hút mùi đảo ELICA IKONA BL MAT/A/60 IKONA BL MAT/A/60","Máy hút mùi đảo ELICA IKONA BL MAT/A/60","may-hut-mui-dao-elica-ikona-bl-mata60-ikona-bl-mata60","may-hut-mui-dao-elica-ikona-bl-mata60",YES
"JOY ISLAND BLIX/A/90","Elica","may-hut-mui","Máy hút mùi đảo ELICA JOY ISLAND BLIX/A/90 JOY ISLAND BLIX/A/90","Máy hút mùi đảo ELICA JOY ISLAND BLIX/A/90","may-hut-mui-dao-elica-joy-island-blixa90-joy-island-blixa90","may-hut-mui-dao-elica-joy-island-blixa90",YES
