old_slug,new_slug,old_url,new_url,sku
"chau-lavabo-treo-tuong-chan-lung-caesar-lf5261-pf2463-lf5261pf2463","chau-lavabo-treo-tuong-caesar-lf5261-kem-chan-chau-pf2463","/san-pham/chau-lavabo-treo-tuong-chan-lung-caesar-lf5261-pf2463-lf5261pf2463","/san-pham/chau-lavabo-treo-tuong-caesar-lf5261-kem-chan-chau-pf2463","LF5261+PF2463"
"chau-lavabo-treo-tuong-chan-lung-caesar-lf5263-pf2463-lf5263pf2463","chau-lavabo-treo-tuong-caesar-lf5263-kem-chan-chau-pf2463","/san-pham/chau-lavabo-treo-tuong-chan-lung-caesar-lf5263-pf2463-lf5263pf2463","/san-pham/chau-lavabo-treo-tuong-caesar-lf5263-kem-chan-chau-pf2463","LF5263+PF2463"
"bo-tu-chau-cabinet-treo-caesar-lf5356eh15356aw7v-lf5356eh15356aw7v","bo-tu-chau-caesar-lf5356-kem-tu-eh15356aw7v","/san-pham/bo-tu-chau-cabinet-treo-caesar-lf5356eh15356aw7v-lf5356eh15356aw7v","/san-pham/bo-tu-chau-caesar-lf5356-kem-tu-eh15356aw7v","LF5356+EH15356AW7V"
"bo-tu-chau-cabinet-treo-caesar-lf5357eh15357clw7v-lf5357eh15357clw7v","bo-tu-chau-caesar-lf5357-kem-tu-eh15357clw7v","/san-pham/bo-tu-chau-cabinet-treo-caesar-lf5357eh15357clw7v-lf5357eh15357clw7v","/san-pham/bo-tu-chau-caesar-lf5357-kem-tu-eh15357clw7v","LF5357+EH15357CLW7V"
"bo-tu-chau-cabinet-treo-caesar-lf5357eh15357crw7v-lf5357eh15357crw7v","bo-tu-chau-caesar-lf5357-kem-tu-eh15357crw7v","/san-pham/bo-tu-chau-cabinet-treo-caesar-lf5357eh15357crw7v-lf5357eh15357crw7v","/san-pham/bo-tu-chau-caesar-lf5357-kem-tu-eh15357crw7v","LF5357+EH15357CRW7V"
"bo-tu-chau-cabinet-treo-caesar-lf5358eh15358clw7v-lf5358eh15358clw7v","bo-tu-chau-caesar-lf5358-kem-tu-eh15358clw7v","/san-pham/bo-tu-chau-cabinet-treo-caesar-lf5358eh15358clw7v-lf5358eh15358clw7v","/san-pham/bo-tu-chau-caesar-lf5358-kem-tu-eh15358clw7v","LF5358+EH15358CLW7V"
"bo-tu-chau-cabinet-treo-caesar-lf5358eh15358crw7v-lf5358eh15358crw7v","bo-tu-chau-caesar-lf5358-kem-tu-eh15358crw7v","/san-pham/bo-tu-chau-cabinet-treo-caesar-lf5358eh15358crw7v-lf5358eh15358crw7v","/san-pham/bo-tu-chau-caesar-lf5358-kem-tu-eh15358crw7v","LF5358+EH15358CRW7V"
"chau-lavabo-treo-tuong-chan-lung-caesar-lf5370-pf2463-lf5370pf2463","chau-lavabo-treo-tuong-caesar-lf5370-kem-chan-chau-pf2463","/san-pham/chau-lavabo-treo-tuong-chan-lung-caesar-lf5370-pf2463-lf5370pf2463","/san-pham/chau-lavabo-treo-tuong-caesar-lf5370-kem-chan-chau-pf2463","LF5370+PF2463"
"chau-rua-lavabo-treo-tuong-viglacera-v23-chan-lung-v23-chauv23-chan","chau-rua-lavabo-treo-tuong-viglacera-v23-chau-kem-v23-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v23-chan-lung-v23-chauv23-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v23-chau-kem-v23-chan","V23-CHAU+V23-CHAN"
"chau-rua-lavabo-treo-tuong-viglacera-v36-chan-lung-v36-chauv36-chan","chau-rua-lavabo-treo-tuong-viglacera-v36-chau-kem-v36-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v36-chan-lung-v36-chauv36-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v36-chau-kem-v36-chan","V36-CHAU+V36-CHAN"
"chau-rua-lavabo-treo-tuong-viglacera-v37-chan-lung-v37-chauv37-chan","chau-rua-lavabo-treo-tuong-viglacera-v37-chau-kem-v37-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v37-chan-lung-v37-chauv37-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v37-chau-kem-v37-chan","V37-CHAU+V37-CHAN"
"chau-rua-lavabo-treo-tuong-viglacera-v39-chan-lung-v39-chauv39-chan","chau-rua-lavabo-treo-tuong-viglacera-v39-chau-kem-v39-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v39-chan-lung-v39-chauv39-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v39-chau-kem-v39-chan","V39-CHAU+V39-CHAN"
"chau-rua-lavabo-treo-tuong-viglacera-v50-chan-lung-v50-chauv50-chan","chau-rua-lavabo-treo-tuong-viglacera-v50-chau-kem-v50-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v50-chan-lung-v50-chauv50-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v50-chau-kem-v50-chan","V50-CHAU+V50-CHAN"
"chau-rua-lavabo-treo-tuong-viglacera-v58-chan-lung-v58-chauv58-chan","chau-rua-lavabo-treo-tuong-viglacera-v58-chau-kem-v58-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v58-chan-lung-v58-chauv58-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-v58-chau-kem-v58-chan","V58-CHAU+V58-CHAN"
"chau-rua-lavabo-treo-tuong-viglacera-vi5-chan-lung-vi5-chauvi5-chan","chau-rua-lavabo-treo-tuong-viglacera-vi5-chau-kem-vi5-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-vi5-chan-lung-vi5-chauvi5-chan","/san-pham/chau-rua-lavabo-treo-tuong-viglacera-vi5-chau-kem-vi5-chan","VI5-CHAU+VI5-CHAN"
"chau-treo-tuong-toto-lw103jt1-tl220d-t205qn-cho-nguoi-khuyet-tat-lw103jt1wtl220dt205qn","chau-treo-tuong-toto-lw103jt1-kem-voi-tl220d-bo-xa-t205qn","/san-pham/chau-treo-tuong-toto-lw103jt1-tl220d-t205qn-cho-nguoi-khuyet-tat-lw103jt1wtl220dt205qn","/san-pham/chau-treo-tuong-toto-lw103jt1-kem-voi-tl220d-bo-xa-t205qn","LW103JT1#W/TL220D/T205QN"
"chau-rua-mat-lavabo-am-ban-toto-lw1505vxw-tl516gv-kem-gia-do-lw1505vxwtl516gv","chau-rua-mat-lavabo-am-ban-toto-lw1505v-kem-voi-tl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1505vxw-tl516gv-kem-gia-do-lw1505vxwtl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1505v-kem-voi-tl516gv","LW1505V#XW/TL516GV"
"chau-rua-mat-lavabo-am-ban-toto-lw1506vxw-tl516gv-kem-gia-do-lw1506vxwtl516gv","chau-rua-mat-lavabo-am-ban-toto-lw1506v-kem-voi-tl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1506vxw-tl516gv-kem-gia-do-lw1506vxwtl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1506v-kem-voi-tl516gv","LW1506V#XW/TL516GV"
"chau-rua-mat-lavabo-am-ban-toto-lw1535vxw-tl516gv-kem-gia-do-lw1535vxwtl516gv","chau-rua-mat-lavabo-am-ban-toto-lw1535v-kem-voi-tl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1535vxw-tl516gv-kem-gia-do-lw1535vxwtl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1535v-kem-voi-tl516gv","LW1535V#XW/TL516GV"
"chau-rua-mat-lavabo-am-ban-toto-lw1536vxw-tl516gv-kem-gia-do-lw1536vxwtl516gv","chau-rua-mat-lavabo-am-ban-toto-lw1536v-kem-voi-tl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1536vxw-tl516gv-kem-gia-do-lw1536vxwtl516gv","/san-pham/chau-rua-mat-lavabo-am-ban-toto-lw1536v-kem-voi-tl516gv","LW1536V#XW/TL516GV"
"chau-rua-lavabo-dat-ban-toto-lw573jwf-lw573jwfw","chau-rua-lavabo-dat-ban-toto-lw573jw-kem-chan-chau-f","/san-pham/chau-rua-lavabo-dat-ban-toto-lw573jwf-lw573jwfw","/san-pham/chau-rua-lavabo-dat-ban-toto-lw573jw-kem-chan-chau-f","LW573JW/F#W"
"chau-rua-lavabo-dat-ban-toto-lw574jwf-lw574jwfw","chau-rua-lavabo-dat-ban-toto-lw574jw-kem-chan-chau-f","/san-pham/chau-rua-lavabo-dat-ban-toto-lw574jwf-lw574jwfw","/san-pham/chau-rua-lavabo-dat-ban-toto-lw574jw-kem-chan-chau-f","LW574JW/F#W"
"chau-rua-lavabo-dat-ban-toto-lw643jwf-lw643jwfw","chau-rua-lavabo-dat-ban-toto-lw643jw-kem-chan-chau-f","/san-pham/chau-rua-lavabo-dat-ban-toto-lw643jwf-lw643jwfw","/san-pham/chau-rua-lavabo-dat-ban-toto-lw643jw-kem-chan-chau-f","LW643JW/F#W"
"chau-rua-lavabo-dat-ban-toto-lw645jnwf-lw645jnwfw","chau-rua-lavabo-dat-ban-toto-lw645jnw-kem-chan-chau-f","/san-pham/chau-rua-lavabo-dat-ban-toto-lw645jnwf-lw645jnwfw","/san-pham/chau-rua-lavabo-dat-ban-toto-lw645jnw-kem-chan-chau-f","LW645JNW/F#W"
"chau-rua-mat-lavabo-ban-am-toto-lw646jwf-lw646jwfw","chau-rua-mat-lavabo-ban-am-toto-lw646jw-kem-chan-chau-f","/san-pham/chau-rua-mat-lavabo-ban-am-toto-lw646jwf-lw646jwfw","/san-pham/chau-rua-mat-lavabo-ban-am-toto-lw646jw-kem-chan-chau-f","LW646JW/F#W"
"chau-lavabo-treo-tuong-toto-lw780j-lw780fj-tx801ln-tl510err-chan-dai-co-dien-lw780jwlw780fjwtx801lntl510err","chau-lavabo-treo-tuong-toto-lw780j-kem-chau-lw780fj-voi-tx801ln-voi-tl510err","/san-pham/chau-lavabo-treo-tuong-toto-lw780j-lw780fj-tx801ln-tl510err-chan-dai-co-dien-lw780jwlw780fjwtx801lntl510err","/san-pham/chau-lavabo-treo-tuong-toto-lw780j-kem-chau-lw780fj-voi-tx801ln-voi-tl510err","LW780J#W/LW780FJ#W/TX801LN/TL510ERR"
"chau-lavabo-treo-tuong-toto-lw815cjwf-dat-goc-lw815cjwfw","chau-lavabo-treo-tuong-toto-lw815cjw-kem-chan-chau-f","/san-pham/chau-lavabo-treo-tuong-toto-lw815cjwf-dat-goc-lw815cjwfw","/san-pham/chau-lavabo-treo-tuong-toto-lw815cjw-kem-chan-chau-f","LW815CJW/F#W"
"chau-rua-lavabo-dat-ban-toto-lw818jwf-lw818jwfw","chau-rua-lavabo-dat-ban-toto-lw818jw-kem-chan-chau-f","/san-pham/chau-rua-lavabo-dat-ban-toto-lw818jwf-lw818jwfw","/san-pham/chau-rua-lavabo-dat-ban-toto-lw818jw-kem-chan-chau-f","LW818JW/F#W"
"chau-rua-lavabo-dat-ban-toto-lw896jwfw-lw896jwfw-mau-trang-lw896jwfw","chau-rua-lavabo-dat-ban-toto-lw896jw-kem-chan-chau-f","/san-pham/chau-rua-lavabo-dat-ban-toto-lw896jwfw-lw896jwfw-mau-trang-lw896jwfw","/san-pham/chau-rua-lavabo-dat-ban-toto-lw896jw-kem-chan-chau-f","LW896JW/F#W"
